scraped_name;full_name;health_news_name;year;speciality;sub_speciality;experience;languages;city_state;patient_experience;url;journal;query
Reyes, Hector Mauricio Serrano;Hector Mauricio Serrano Reyes;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/ea25/7c3c78ab520eccde16d353d605c60c315533.pdf;True;of;whipple procedure
Alameddin, Mansuor Chaer;Mansuor Chaer Alameddin;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/ea25/7c3c78ab520eccde16d353d605c60c315533.pdf;True;of;whipple procedure
de Saboya David, Claudio;Claudio de Saboya David;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/ea25/7c3c78ab520eccde16d353d605c60c315533.pdf;True;of;whipple procedure
Loures, Paulo;Paulo Loures;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://pdfs.semanticscholar.org/ea25/7c3c78ab520eccde16d353d605c60c315533.pdf;True;of;whipple procedure
Zorbas, Konstantinos A;Konstantinos A Zorbas;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(17)30423-9/abstract;True;HPB;whipple procedure
Karachristos, Andreas;Andreas Karachristos;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.hpbonline.org/article/S1365-182X(17)30423-9/abstract;True;HPB;whipple procedure
Sinha, Amitasha;Amitasha Sinha;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Patel, Yuval A;Yuval A Patel;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Cruise, Michael;Michael Cruise;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Matsukuma, Karen;Karen Matsukuma;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Zaheer, Atif;Atif Zaheer;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Afghani, Elham;Elham Afghani;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Yadav, Dhiraj;Dhiraj Yadav;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Makary, Martin A;Martin A Makary;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Hirose, Kenzo;Kenzo Hirose;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Andersen, Dana K;Dana K Andersen;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/article/10.1007/s11605-016-3081-7;True;Journal of Gastrointestinal Surgery;whipple procedure
Kawasaki, Yota;Yota Kawasaki;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510;True;ANZ journal of surgery;whipple procedure
Maemura, Kosei;Kosei Maemura;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510;True;ANZ journal of surgery;whipple procedure
Kurahara, Hiroshi;Hiroshi Kurahara;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510;True;ANZ journal of surgery;whipple procedure
Mataki, Yuko;Yuko Mataki;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510;True;ANZ journal of surgery;whipple procedure
Iino, Satoshi;Satoshi Iino;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510;True;ANZ journal of surgery;whipple procedure
Sakoda, Masahiko;Masahiko Sakoda;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510;True;ANZ journal of surgery;whipple procedure
Shinchi, Hiroyuki;Hiroyuki Shinchi;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510;True;ANZ journal of surgery;whipple procedure
Natsugoe, Shoji;Shoji Natsugoe;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://onlinelibrary.wiley.com/doi/abs/10.1111/ans.15510;True;ANZ journal of surgery;whipple procedure
Magdy, Mahdy M;Mahdy M Magdy;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;http://jcmrp.eg.net/article.asp?issn=2357-0121;year=2019;volume=4;issue=2;spage=137;epage=143;aulast=Magdy;True;Journal of Current Medical Research and Practice;whipple procedure
Osama, Ibraheim A;Ibraheim A Osama;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;http://jcmrp.eg.net/article.asp?issn=2357-0121;year=2019;volume=4;issue=2;spage=137;epage=143;aulast=Magdy;True;Journal of Current Medical Research and Practice;whipple procedure
Jehan, Sayed A;Sayed A Jehan;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;http://jcmrp.eg.net/article.asp?issn=2357-0121;year=2019;volume=4;issue=2;spage=137;epage=143;aulast=Magdy;True;Journal of Current Medical Research and Practice;whipple procedure
Mostafa, Abbas S;Abbas S Mostafa;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;http://jcmrp.eg.net/article.asp?issn=2357-0121;year=2019;volume=4;issue=2;spage=137;epage=143;aulast=Magdy;True;Journal of Current Medical Research and Practice;whipple procedure
Courtin-Tanguy, Laetitia;Laetitia Courtin-Tanguy;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pubmed/27457259;True;Surgery;whipple procedure
Merdrignac, Aude;Aude Merdrignac;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pubmed/27457259;True;Surgery;whipple procedure
Meunier, Bernard;Bernard Meunier;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pubmed/27457259;True;Surgery;whipple procedure
Sulpice, Laurent;Laurent Sulpice;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pubmed/27457259;True;Surgery;whipple procedure
Samlowski, Erika;Erika Samlowski;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/acgcr/Fulltext/2019/11000/Catastrophic_Bleeding_From_Gastroduodenal_Artery.13.aspx;True;ACG Case Reports Journal;whipple procedure
Okwuosa, Chris;Chris Okwuosa;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/acgcr/Fulltext/2019/11000/Catastrophic_Bleeding_From_Gastroduodenal_Artery.13.aspx;True;ACG Case Reports Journal;whipple procedure
Tashjian, Nara;Nara Tashjian;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/acgcr/Fulltext/2019/11000/Catastrophic_Bleeding_From_Gastroduodenal_Artery.13.aspx;True;ACG Case Reports Journal;whipple procedure
Wagner, Michel;Michel Wagner;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/acgcr/Fulltext/2019/11000/Catastrophic_Bleeding_From_Gastroduodenal_Artery.13.aspx;True;ACG Case Reports Journal;whipple procedure
Smith, Erik B;Erik B Smith;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/aacr/FullText/2019/10150/Pancreaticoduodenectomy__Whipple_Procedure__in_a.5.aspx;True;A\&A Practice;whipple procedure
Hardart, Richard;Richard Hardart;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://cdn.journals.lww.com/aacr/FullText/2019/10150/Pancreaticoduodenectomy__Whipple_Procedure__in_a.5.aspx;True;A\&A Practice;whipple procedure
Dilek, Osman N;Osman N Dilek;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/;True;Euroasian journal of hepato-gastroenterology;whipple procedure
Ozsay, Oguzhan;Oguzhan Ozsay;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/;True;Euroasian journal of hepato-gastroenterology;whipple procedure
Karaisli, Serkan;Serkan Karaisli;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/;True;Euroasian journal of hepato-gastroenterology;whipple procedure
G{\"u}r, Emine {\"O};Emine {\"O} G{\"u}r;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/;True;Euroasian journal of hepato-gastroenterology;whipple procedure
Er, Ahmet;Ahmet Er;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/;True;Euroasian journal of hepato-gastroenterology;whipple procedure
Haciyanli, Selda G;Selda G Haciyanli;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/;True;Euroasian journal of hepato-gastroenterology;whipple procedure
Kar, Haldun;Haldun Kar;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/;True;Euroasian journal of hepato-gastroenterology;whipple procedure
Dilek, Fatma H;Fatma H Dilek;unknown;2018;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6024055/;True;Euroasian journal of hepato-gastroenterology;whipple procedure
Dilek, Osman Nuri;Osman Nuri Dilek;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/;True;Turkish Journal of Surgery;whipple procedure
{\"O}z{\c{s}}ay, O{\u{g}}uzhan;O{\u{g}}uzhan {\"O}z{\c{s}}ay;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/;True;Turkish Journal of Surgery;whipple procedure
Acar, Turan;Turan Acar;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/;True;Turkish Journal of Surgery;whipple procedure
G{\"u}r, Emine {\"O}zlem;Emine {\"O}zlem G{\"u}r;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/;True;Turkish Journal of Surgery;whipple procedure
{\c{C}}elik, Salih Can;Salih Can {\c{C}}elik;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/;True;Turkish Journal of Surgery;whipple procedure
Cengiz, Fevzi;Fevzi Cengiz;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/;True;Turkish Journal of Surgery;whipple procedure
Cin, Nejat;Nejat Cin;unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/;True;Turkish Journal of Surgery;whipple procedure
Hac{\i}yanl{\i}, Mehmet;Mehmet Hac{\i}yanl{\i};unknown;2019;unknown;unknown;unknown;unknown;unknown;unknown;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796072/;True;Turkish Journal of Surgery;whipple procedure
Amin, M Umar;M Umar Amin;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;http://www.pakjr.com/ojs/index.php/PJR/article/view/165;True;PJR;whipple procedure
Nazir, Rashed;Rashed Nazir;unknown;2016;unknown;unknown;unknown;unknown;unknown;unknown;http://www.pakjr.com/ojs/index.php/PJR/article/view/165;True;PJR;whipple procedure
Spanheimer, Philip M;Philip M Spanheimer;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://link.springer.com/chapter/10.1007/978-3-319-44797-1_113;True;unknown;whipple procedure
Zong, Yan;Yan Zong;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468;True;International Journal of Surgery;whipple procedure
Zhao, Zhanqiang;Zhanqiang Zhao;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468;True;International Journal of Surgery;whipple procedure
Tan, Hongtao;Hongtao Tan;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468;True;International Journal of Surgery;whipple procedure
Liu, Jie;Jie Liu;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468;True;International Journal of Surgery;whipple procedure
Linfeng, WU;WU Linfeng;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468;False;International Journal of Surgery;whipple procedure
Sun, Bei;Bei Sun;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468;True;International Journal of Surgery;whipple procedure
Jiang, Hongchi;Hongchi Jiang;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;http://wprim.whocc.org.cn/admin/article/articleDetail?WPRIMID=512468&articleId=512468;True;International Journal of Surgery;whipple procedure
Sofia, Xenaki;Xenaki Sofia;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf;True;JOP. J Pancreas (Online);whipple procedure
Alexandros, Andreou;Andreou Alexandros;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf;True;JOP. J Pancreas (Online);whipple procedure
Elias, Athanasakis;Athanasakis Elias;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf;True;JOP. J Pancreas (Online);whipple procedure
Anna, Daskalaki;Daskalaki Anna;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf;True;JOP. J Pancreas (Online);whipple procedure
George, Chalkiadakis;Chalkiadakis George;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf;True;JOP. J Pancreas (Online);whipple procedure
Emmanuel, Chrysos;Chrysos Emmanuel;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://www.researchgate.net/profile/Sofia_Xenaki/publication/320583672_REVIEW_ARTICLE_Omental_Roll_up_Technique_in_Pancreaticojejunostomy_In_Whipple_Traverso_Procedure_Decreases_the_Formation_of_Pancreatic_Fistula-A_Prospective_Consecutive_Case_Series/links/59eed84d0f7e9b369575bd67/REVIEW-ARTICLE-Omental-Roll-up-Technique-in-Pancreaticojejunostomy-In-Whipple-Traverso-Procedure-Decreases-the-Formation-of-Pancreatic-Fistula-A-Prospective-Consecutive-Case-Series.pdf;True;JOP. J Pancreas (Online);whipple procedure
Peluso, Heather;Heather Peluso;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2017/10001/The_Incidence,_Risk_Factors_and_Impact_of_30_Day.46.aspx;True;American Journal of Gastroenterology;whipple procedure
Abougergi, Marwan;Marwan Abougergi;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2017/10001/The_Incidence,_Risk_Factors_and_Impact_of_30_Day.46.aspx;True;American Journal of Gastroenterology;whipple procedure
Mrad, Chebli;Chebli Mrad;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2017/10001/The_Incidence,_Risk_Factors_and_Impact_of_30_Day.46.aspx;True;American Journal of Gastroenterology;whipple procedure
Jones, Wesley;Wesley Jones;unknown;2017;unknown;unknown;unknown;unknown;unknown;unknown;https://journals.lww.com/ajg/Fulltext/2017/10001/The_Incidence,_Risk_Factors_and_Impact_of_30_Day.46.aspx;True;American Journal of Gastroenterology;whipple procedure
